True ratio,Electrode ratio,Delta Vth,Positive Vset,Negative Vset,Positive HRS/LRS,Negative HRS/LRS
1,0.0354929487452,-0.0718937031369,nan,nan,-0.529237159563,-0.697668097146
0.0354929487452,1,0.647838242152,nan,nan,-0.465335013801,-0.271143692599
-0.0718937031369,0.647838242152,1,nan,nan,-0.0609857971441,-0.437824331356
nan,nan,nan,1,nan,nan,nan
nan,nan,nan,nan,1,nan,nan
-0.529237159563,-0.465335013801,-0.0609857971441,nan,nan,1,0.716437029924
-0.697668097146,-0.271143692599,-0.437824331356,nan,nan,0.716437029924,1
