True ratio,Electrode ratio,Delta Vth,Positive Vset,Negative Vset,Positive HRS/LRS,Negative HRS/LRS
1,-0.167118540974,-0.379845826985,nan,nan,-0.2362715924,0.13448909096
-0.167118540974,1,0.102459840035,nan,nan,0.563375311893,0.190534042412
-0.379845826985,0.102459840035,1,nan,nan,-0.223250081427,0.137037784915
nan,nan,nan,1,nan,nan,nan
nan,nan,nan,nan,1,nan,nan
-0.2362715924,0.563375311893,-0.223250081427,nan,nan,1,-0.105623810938
0.13448909096,0.190534042412,0.137037784915,nan,nan,-0.105623810938,1
